state,order_date,stabr,offset,color,,,,,,,
California,3/19/20,CA,0,#a59f63,,,,,,,
Arizona,3/21/20,AZ,1,#9d2503,,,,,,,
Illinois,3/21/20,IL,2,#df8543,,,,,,,
New Jersey,3/21/20,NJ,0,#7fa998,,,,,,,
New York,3/22/20,NY,0,#7fa998,,,,,,,
Connecticut,3/23/20,CT,0,#7fa998,,,,,,,
Louisiana,3/23/20,LA,4,#f1f1b0,,,,,,,
Ohio,3/23/20,OH,3,#df8543,,,,,,,
Oregon,3/23/20,OR,2,#a59f63,,,,,,,
Washington,3/23/20,WA,1,#a59f63,,,,,,,
Delaware,3/24/20,DE,0,#7fa998,,,,,,,
Indiana,3/24/20,IN,3,#df8543,,,,,,,
Massachusetts,3/24/20,MA,1,#7fa998,,,,,,,
Michigan,3/24/20,MI,4,#df8543,,,,,,,
New Mexico,3/24/20,NM,2,#9d2503,,,,,,,
Hawaii,3/25/20,HI,2,#a59f63,,,,,,,
Idaho,3/25/20,ID,1,#a59f63,,,,,,,
Vermont,3/25/20,VT,0,#7fa998,,,,,,,
West Virginia,3/25/20,WV,4,#f1f1b0,,,,,,,
Wisconsin,3/25/20,WI,3,#df8543,,,,,,,
Colorado,3/26/20,CO,0,#a59f63,,,,,,,
Kentucky,3/26/20,KY,1,#f1f1b0,,,,,,,
Minnesota,3/27/20,MN,1,#df8543,,,,,,,
Mississippi,3/27/20,MS,2,#f1f1b0,,,,,,,
New Hampshire,3/27/20,NH,0,#7fa998,,,,,,,
Alaska,3/28/20,AK,1,#a59f63,,,,,,,
Rhode Island,3/28/20,RI,0,#7fa998,,,,,,,
Wyoming,3/28/20,WY,2,#948E57,,,,,,,
Kansas,3/30/20,KS,2,#df8543,,,,,,,
Maryland,3/30/20,MD,0,#7fa998,,,,,,,
North Carolina,3/30/20,NC,3,#f1f1b0,,,,,,,
Utah,3/30/20,UT,1,#a59f63,,,,,,,
Virginia,3/30/20,VA,4,#f1f1b0,,,,,,,
Tennessee,3/31/20,TN,0,#f1f1b0,,,,,,,
District of Columbia,4/1/20,DC,0,#7fa998,,,,,,,
Nevada,4/1/20,NV,2,#a59f63,,,,,,,
Pennsylvania,4/1/20,PA,1,#7fa998,,,,,,,
Maine,4/2/20,ME,0,#7fa998,,,,,,,
Texas,4/2/20,TX,1,#9d2503,,,,,,,
Alabama,4/3/20,AL,0,#f1f1b0,,,,,,,
Florida,4/3/20,FL,1,#f1f1b0,,,,,,,
Georgia,4/3/20,GA,2,#f1f1b0,,,,,,,
Missouri,4/6/20,MO,1,#df8543,,,,,,,
Montana,4/6/20,MT,0,#a59f63,,,,,,,
South Carolina,4/7/20,SC,0,#f1f1b0,,,,,,,
Texas,4/30/20,TX,-5,#9d2503,,,,,,,
Tennessee,4/30/20,TN,-6,#f1f1b0,,,,,,,
Montana,4/26/20,MT,-4,#a59f63,,,,,,,
Mississippi,4/27/20,MS,-4,#f1f1b0,,,,,,,
Maine,4/30/20,ME,-4,#7fa998,,,,,,,
Idaho,4/30/20,ID,-9,#a59f63,,,,,,,
Georgia,4/30/20,GA,-7,#f1f1b0,,,,,,,
Colorado,4/26/20,CO,-5,#a59f63,,,,,,,
Alabama,4/30/20,AL,-8,#f1f1b0,,,,,,,
